graph_dir,y_path,y_cmd,group,nodes,edges
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/11ty-high-perf-example,,0.0,11ty-high-perf-example,245,338
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/@vivaxy-here_3.1.0,0.0,,@vivaxy-here_3.1.0,93,137
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/BodyBlock,,0.0,BodyBlock,372,526
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2021-23330_instance,,0.0,CVE-2021-23330_instance,1336,1977
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2021-23330_version,,0.0,CVE-2021-23330_version,619,914
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2021-23352,,0.0,CVE-2021-23352,1044,1563
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2021-23631,0.0,,CVE-2021-23631,2071,3065
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2021-3223,0.0,,CVE-2021-3223,1283,1815
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2021-34078,,0.0,CVE-2021-34078,1180,1741
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2021-4329,,0.0,CVE-2021-4329,3368,5103
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2021-43788,0.0,,CVE-2021-43788,640,904
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2022-0436,0.0,,CVE-2022-0436,3764,5669
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2022-21191,,0.0,CVE-2022-21191,1158,1808
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2022-21192,0.0,,CVE-2022-21192,1251,1866
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2022-24433,,0.0,CVE-2022-24433,160,228
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2022-25937,0.0,,CVE-2022-25937,1411,2078
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2023-26156,,0.0,CVE-2023-26156,468,680
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2023-31718,0.0,,CVE-2023-31718,1197,1714
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2023-39584,0.0,,CVE-2023-39584,448,641
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2023-40582,,0.0,CVE-2023-40582,245,354
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/CVE-2023-46496,0.0,,CVE-2023-46496,361,509
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2024-21488,,0.0,CVE-2024-21488,812,1209
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/CVE-2025-9262,,0.0,CVE-2025-9262,33,40
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/DCSOlympus,0.0,,DCSOlympus,773,1153
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/Department-Management-System,0.0,,Department-Management-System,353,495
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/Ecomm-Template,,0.0,Ecomm-Template,219,317
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/HES-Vault-API,0.0,,HES-Vault-API,640,936
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/ITP,0.0,,ITP,404,583
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/Learn-Python,,0.0,Learn-Python,445,637
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/MMGIS,0.0,,MMGIS,1594,2343
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ModBot,,0.0,ModBot,821,1155
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/Pilothouse,,0.0,Pilothouse,843,1200
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/PooledWebSocket,0.0,,PooledWebSocket,438,641
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/SeanPesce,0.0,,SeanPesce,455,688
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/Stigmergy,,0.0,Stigmergy,421,594
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/YoutubeDL-Material,,0.0,YoutubeDL-Material,950,1403
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/abwesenheiten-count,0.0,,abwesenheiten-count,8,9
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/addax-1.0.6,,0.0,addax-1.0.6,472,698
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/admincraft-websocket,,0.0,admincraft-websocket,1482,2174
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/angular-http-server_1.0.0,0.0,,angular-http-server_1.0.0,871,1312
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/aoi,,0.0,aoi,443,617
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/apex-publish-static-files_2.0.0,,0.0,apex-publish-static-files_2.0.0,620,913
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/app-state-diagram,0.0,,app-state-diagram,586,875
