Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
789¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":135,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Program
790¿ExpressionStatement¿¿1338¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ExpressionStatement
791¿Literal¿string¿1338¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
792¿VariableDeclarator¿¿1338¿v73¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
793¿CallExpression¿¿1338¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
794¿Identifier¿¿1338¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
795¿Literal¿string¿1338¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
796¿VariableDeclarator¿¿1338¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
797¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
798¿Identifier¿¿1338¿v73¿¿¿¿¿Identifier
799¿Identifier¿¿1338¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
