Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
927¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":136,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿Program
928¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
929¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
930¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
931¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
932¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
933¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
934¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
935¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
936¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
937¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
938¿ImportDeclaration¿¿1650¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿ImportDeclaration
939¿VariableDeclarator¿¿1650¿bundler¿¿¿{"start":{"line":17,"column":6},"end":{"line":134,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/ladle/vite-dev.js"}¿¿VariableDeclarator
