Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
791¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":92,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Program
792¿VariableDeclarator¿¿1371¿http¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
793¿CallExpression¿¿1371¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
794¿Identifier¿¿1371¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
795¿Literal¿string¿1371¿¿'http'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Literal
796¿VariableDeclarator¿¿1371¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
797¿CallExpression¿¿1371¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
798¿Identifier¿¿1371¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
799¿Literal¿string¿1371¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Literal
800¿VariableDeclarator¿¿1371¿rootPath¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
801¿CallExpression¿¿1371¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
802¿MemberExpression¿¿1371¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
803¿Identifier¿¿1371¿process¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
804¿Identifier¿¿1371¿cwd¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
805¿VariableDeclarator¿¿1371¿path¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
806¿CallExpression¿¿1371¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
807¿Identifier¿¿1371¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
808¿Literal¿string¿1371¿¿'path'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Literal
809¿VariableDeclarator¿¿1371¿utils¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
810¿CallExpression¿¿1371¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
811¿Identifier¿¿1371¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
812¿Literal¿string¿1371¿¿'./utils'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Literal
813¿VariableDeclarator¿exported¿1371¿HttpServer¿¿¿{"start":{"line":8,"column":0},"end":{"line":81,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
814¿FunctionExpression¿¿1371¿anon¿¿¿{"start":{"line":8,"column":0},"end":{"line":81,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿FunctionExpression
815¿Identifier¿¿0¿option¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
